"Statistic Label","Quarter","Sex","UNIT","VALUE"
"Population","2006Q1","Female","Number",""
"Population","2006Q2","Both sexes","Number","4239800"
"Population","2006Q2","Male","Number","2121200"
"Population","2006Q2","Female","Number","2118700"
"Population","2006Q3","Both sexes","Number",""
"Population","2006Q3","Male","Number",""
"Population","2006Q3","Female","Number",""
"Population","2006Q4","Both sexes","Number",""
"Population","2006Q4","Male","Number",""
"Population","2006Q4","Female","Number",""
"Population","2007Q1","Both sexes","Number",""
"Population","2007Q1","Male","Number",""
"Population","2007Q1","Female","Number",""
"Population","2007Q2","Both sexes","Number","4339000"
"Population","2007Q2","Male","Number","2171100"
"Population","2007Q2","Female","Number","2167900"
"Population","2007Q3","Both sexes","Number",""
"Population","2007Q3","Male","Number",""
"Population","2007Q3","Female","Number",""
"Population","2007Q4","Both sexes","Number",""
"Population","2007Q4","Male","Number",""
"Population","2007Q4","Female","Number",""
"Population","2008Q1","Both sexes","Number",""
"Population","2008Q1","Male","Number",""
"Population","2008Q1","Female","Number",""
"Population","2008Q2","Both sexes","Number","4422100"
"Population","2008Q2","Male","Number","2206300"
"Population","2008Q2","Female","Number","2215800"
"Population","2008Q3","Both sexes","Number",""
"Population","2008Q3","Male","Number",""
"Population","2008Q3","Female","Number",""
"Population","2008Q4","Both sexes","Number",""
"Population","2008Q4","Male","Number",""
"Population","2008Q4","Female","Number",""
"Population","2009Q1","Both sexes","Number",""
"Population","2009Q1","Male","Number",""
"Population","2009Q1","Female","Number",""
"Population","2009Q2","Both sexes","Number","4459300"
"Population","2009Q2","Male","Number","2217700"
"Population","2009Q2","Female","Number","2241600"
"Population","2009Q3","Both sexes","Number",""
"Population","2009Q3","Male","Number",""
"Population","2009Q3","Female","Number",""
"Population","2009Q4","Both sexes","Number",""
"Population","2009Q4","Male","Number",""
"Population","2009Q4","Female","Number",""
"Population","2010Q1","Both sexes","Number",""
"Population","2010Q1","Male","Number",""
"Population","2010Q1","Female","Number",""
"Population","2010Q2","Both sexes","Number","4470700"
"Population","2010Q2","Male","Number","2216000"
"Population","2010Q2","Female","Number","2254700"
"Population","2010Q3","Both sexes","Number",""
"Population","2010Q3","Male","Number",""
"Population","2010Q3","Female","Number",""
"Population","2010Q4","Both sexes","Number",""
"Population","2010Q4","Male","Number",""
"Population","2010Q4","Female","Number",""
"Population","2011Q1","Both sexes","Number",""
"Population","2011Q1","Male","Number",""
"Population","2011Q1","Female","Number",""
"Population","2011Q2","Both sexes","Number","4588300"
"Population","2011Q2","Male","Number","2272700"
"Population","2011Q2","Female","Number","2315600"
"Population","2011Q3","Both sexes","Number",""
"Population","2011Q3","Male","Number",""
"Population","2011Q3","Female","Number",""
"Population","2011Q4","Both sexes","Number",""
"Population","2011Q4","Male","Number",""
"Population","2011Q4","Female","Number",""
"Population","2012Q1","Both sexes","Number",""
"Population","2012Q1","Male","Number",""
"Population","2012Q1","Female","Number",""
"Population","2012Q2","Both sexes","Number",""
"Population","2012Q2","Male","Number",""
"Population","2012Q2","Female","Number",""
"Population","2012Q3","Both sexes","Number","4585400"
"Population","2012Q3","Male","Number","2269600"
"Population","2012Q3","Female","Number","2315800"
"Population","2012Q4","Both sexes","Number","4585400"
"Population","2012Q4","Male","Number","2269600"
"Population","2012Q4","Female","Number","2315800"
"Population","2013Q1","Both sexes","Number",""
"Population","2013Q1","Male","Number",""
"Population","2013Q1","Female","Number",""
"Population","2013Q2","Both sexes","Number",""
"Population","2013Q2","Male","Number",""
"Population","2013Q2","Female","Number",""
"Population","2013Q3","Both sexes","Number",""
"Population","2013Q3","Male","Number",""
"Population","2013Q3","Female","Number",""
"Population","2013Q4","Both sexes","Number",""
"Population","2013Q4","Male","Number",""
"Population","2013Q4","Female","Number",""
"Population","2014Q1","Both sexes","Number","4593100"
